,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
1,66,5,0,0,33,4,13,2,4,0,9,6,10,7,0,11,1,0,9,1,4,0,45,3,260,187553,http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=R...,1
2,56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.isrel.usa.cc/account/app/svc/login.html...,1
3,19,1,0,0,1,0,18,2,0,0,15,8.5,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://resumeresources.ca/,0
5,50,7,1,2,1,0,46,5,0,0,20,8.4,0,0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://notification-account.com.smk-diponegoro.sch.id/...,1
6,66,5,0,0,45,3,18,3,3,0,11,5.333333333,32,13.66666667,0,3,3,0,0,0,0,0,102,6,184,-1,http://www.roadrunners.pl/media/auth/df8207c6ca6b56bf1722993f66864b08/...,1
7,58,5,0,0,33,4,14,2,4,0,11,6.5,8,7,0,11,4,0,0,0,0,0,-1,11,-1,110059,http://customprint.in/catalog/language/spanish/module/sign.htm...,1
8,25,2,0,0,5,1,20,3,1,0,12,6,3,3,0,0,0,0,0,0,0,0,210,18,570,-1,http://www.numbertheory.org/ntw/,0
9,60,6,0,0,34,4,14,3,4,0,6,4,12,7.25,0,12,4,0,0,0,0,0,160,8,891,85201,http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...,1
10,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,143,13,11,-1,http://www.balicrafters.com/,0
12,66,6,1,0,28,3,25,4,3,0,14,5.5,10,8,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,1
13,66,5,1,0,14,2,18,2,2,0,14,8.5,6,5.5,0,9,1,0,25,1,22,2,2,10,67,-1,http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...,1
14,50,7,1,0,5,1,32,4,1,0,21,7.25,3,3,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://www.rockdaledrivingschool.com.au/BOA/Signin.htm...,1
15,37,3,0,0,12,2,15,3,2,0,7,4.333333333,5,4.5,0,10,1,0,0,0,0,0,257,7,118,631,http://www.ametsoc.org/pubs/books/index.html,0
16,25,1,0,0,15,1,10,2,1,0,6,4.5,13,13,0,0,0,0,0,0,0,0,21,3,229,274300,http://hymesh.net/listfinancial/,1
17,66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,151,64202,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
18,17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,200,4,236,76777731,http://bmwusfactory.com/,0
19,66,4,0,0,48,6,12,2,6,0,8,5.5,17,6.833333333,0,6,3,0,0,0,0,0,20,4,619,-1,http://gosgmart.com/image/catalog/demo/product/-/direction-general/red...,1
20,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,197,7,122,-1,http://www.xbridge.com/,0
21,65,4,0,0,14,2,16,2,2,0,12,7.5,7,5.5,0,35,3,0,0,0,0,0,117,3,253,423731,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb...,1
22,66,4,0,1,42,3,19,2,3,0,16,9,18,12.66666667,0,5,3,0,0,0,0,0,2,-1,75,-1,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
23,23,3,0,1,1,0,22,4,0,0,12,4.75,0,0,0,0,0,0,0,0,0,0,169,11,414,-1,http://www.picture-disc.co.uk/,0
24,24,1,0,0,4,1,20,2,1,0,16,9.5,2,2,0,0,0,0,0,0,0,0,6,6,168,-1,http://cutsnakecatering.com/oh/,1
25,66,7,0,0,4,1,40,5,1,0,13,7.2,2,2,0,22,3,0,0,0,0,0,20,4,196,92692,http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...,1
27,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,227,13,24,-1,http://www.puddinhill.com/,0
29,25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,216,12,46,-1,http://www.bimbobakeriesusa.com/,0
30,66,6,1,0,24,2,28,3,2,0,20,8.666666667,12,10.5,0,14,4,0,0,0,0,0,7,5,212,98083,http://www.mamaefotografaexpert.com/~fezna329/seguroautoBB/login.do256...,1
